,label,proportion,question,split,group
107,3,0.061189032873892796,satisfaction,none,all
108,Je ne sais pas / Un tùun ǎ,0.011064337908507088,satisfaction,none,all
109,2,0.009531556336652352,satisfaction,none,all
110,1,0.0010244829495935875,satisfaction,none,all
111,1,0.0010064377977737939,satisfaction,use,future_user
112,10,0.22449993107201321,satisfaction,use,future_user
113,2,0.0026686886241268403,satisfaction,use,future_user
114,3,0.07046789575683633,satisfaction,use,future_user
115,4,0.056601367129299245,satisfaction,use,future_user
116,5,0.2569393159097299,satisfaction,use,future_user
117,6,0.10561948440432678,satisfaction,use,future_user
118,7,0.08260138467249484,satisfaction,use,future_user
119,8,0.14785758058834547,satisfaction,use,future_user
120,9,0.04536903949620108,satisfaction,use,future_user
121,Je ne sais pas / Un tùun ǎ,0.006368874548852698,satisfaction,use,future_user
122,1,0.00021280010525220397,satisfaction,use,nonuser
123,10,0.10884762084674274,satisfaction,use,nonuser
124,2,0.0063892274643820215,satisfaction,use,nonuser
125,3,0.09022547192228376,satisfaction,use,nonuser
126,4,0.06333048043655957,satisfaction,use,nonuser
127,5,0.3480796051208782,satisfaction,use,nonuser
128,6,0.1137437053638683,satisfaction,use,nonuser
129,7,0.06226182394647016,satisfaction,use,nonuser
130,8,0.07567419383843173,satisfaction,use,nonuser
131,9,0.12574298519344304,satisfaction,use,nonuser
132,Je ne sais pas / Un tùun ǎ,0.005492085761688115,satisfaction,use,nonuser
133,1,0.0008076398947551825,satisfaction,use,past_user
134,10,0.06543956012307119,satisfaction,use,past_user
135,2,0.0020938402228227043,satisfaction,use,past_user
136,3,0.014885953904064508,satisfaction,use,past_user
137,4,0.1048960714031579,satisfaction,use,past_user
138,5,0.41477028280908956,satisfaction,use,past_user
139,6,0.20299534614684484,satisfaction,use,past_user
140,7,0.08091368236916334,satisfaction,use,past_user
141,8,0.09391327224326365,satisfaction,use,past_user
142,9,0.013074768738529897,satisfaction,use,past_user
143,Je ne sais pas / Un tùun ǎ,0.006209582145237433,satisfaction,use,past_user
144,1,0.0021889495963570726,satisfaction,use,user
145,10,0.12041603974276069,satisfaction,use,user
146,2,0.02182890337261221,satisfaction,use,user
147,3,0.06375314549477998,satisfaction,use,user
148,4,0.1580425124058891,satisfaction,use,user
149,5,0.09977397646345582,satisfaction,use,user
150,6,0.10106346110282204,satisfaction,use,user
151,7,0.10361537338508518,satisfaction,use,user
152,8,0.2661999307294012,satisfaction,use,user
153,9,0.03974833445291573,satisfaction,use,user
154,Je ne sais pas / Un tùun ǎ,0.023369373253921005,satisfaction,use,user
155,1,0.0,satisfaction,gender,Femme Nyɔnu
156,10,0.06288869361894647,satisfaction,gender,Femme Nyɔnu
157,2,0.002543436989052061,satisfaction,gender,Femme Nyɔnu
158,3,0.06945964942762906,satisfaction,gender,Femme Nyɔnu
159,4,0.12983540398678872,satisfaction,gender,Femme Nyɔnu
160,5,0.2999544054683696,satisfaction,gender,Femme Nyɔnu
161,6,0.15243690047783523,satisfaction,gender,Femme Nyɔnu
162,7,0.10819139425836673,satisfaction,gender,Femme Nyɔnu
163,8,0.16611619197816752,satisfaction,gender,Femme Nyɔnu
164,9,0.008440095136750574,satisfaction,gender,Femme Nyɔnu
165,Je ne sais pas / Un tùun ǎ,0.00013382865809400486,satisfaction,gender,Femme Nyɔnu
166,1,0.0021521327842988426,satisfaction,gender,Homme Sunnu
167,10,0.16517502203472056,satisfaction,gender,Homme Sunnu
168,2,0.01722338920741718,satisfaction,gender,Homme Sunnu
169,3,0.05208555351054076,satisfaction,gender,Homme Sunnu
170,4,0.07039602878810033,satisfaction,gender,Homme Sunnu
171,5,0.2648918451186239,satisfaction,gender,Homme Sunnu
172,6,0.10994855779163686,satisfaction,gender,Homme Sunnu
173,7,0.051452027087286537,satisfaction,gender,Homme Sunnu
174,8,0.11855103030379238,satisfaction,gender,Homme Sunnu
175,9,0.12502884844039727,satisfaction,gender,Homme Sunnu
176,Je ne sais pas / Un tùun ǎ,0.02309556493318545,satisfaction,gender,Homme Sunnu
177,1,0.0,satisfaction,age_group,16-20
178,10,0.09948516871187249,satisfaction,age_group,16-20
179,2,0.0008047509073341981,satisfaction,age_group,16-20
180,3,0.28473324366530606,satisfaction,age_group,16-20
181,4,0.07856206912695977,satisfaction,age_group,16-20
182,5,0.3224073589639154,satisfaction,age_group,16-20
183,6,0.06433178256777763,satisfaction,age_group,16-20
184,7,0.0,satisfaction,age_group,16-20
185,8,0.14967562605683438,satisfaction,age_group,16-20
186,9,0.0,satisfaction,age_group,16-20
187,Je ne sais pas / Un tùun ǎ,0.0,satisfaction,age_group,16-20
188,1,0.0021069518648166824,satisfaction,age_group,21-30
189,10,0.16725160940880274,satisfaction,age_group,21-30
190,2,0.007267662116447669,satisfaction,age_group,21-30
191,3,0.0707845782606162,satisfaction,age_group,21-30
192,4,0.11794530361171209,satisfaction,age_group,21-30
193,5,0.18737109776289426,satisfaction,age_group,21-30
194,6,0.1622998086489697,satisfaction,age_group,21-30
195,7,0.0984201510110367,satisfaction,age_group,21-30
196,8,0.062159546583338644,satisfaction,age_group,21-30
197,9,0.11504942326899377,satisfaction,age_group,21-30
198,Je ne sais pas / Un tùun ǎ,0.0093438674623715,satisfaction,age_group,21-30
199,1,0.0005788379333550661,satisfaction,age_group,31-45
200,10,0.08586946459574553,satisfaction,age_group,31-45
201,2,0.01121095525526808,satisfaction,age_group,31-45
202,3,0.04124353584365294,satisfaction,age_group,31-45
203,4,0.09529900429517127,satisfaction,age_group,31-45
204,5,0.3262905434934198,satisfaction,age_group,31-45
205,6,0.1225330678116004,satisfaction,age_group,31-45
206,7,0.07854485904233462,satisfaction,age_group,31-45
207,8,0.1818152702476528,satisfaction,age_group,31-45
208,9,0.043969086061109885,satisfaction,age_group,31-45
209,Je ne sais pas / Un tùun ǎ,0.012645375420689659,satisfaction,age_group,31-45
