,label,proportion,split,group,question
105,Bon croyant,0.04966887417218543,use,nonuser,traits
106,Bon croyant,0.0546875,use,past_user,traits
107,Bon croyant,0.07357859531772576,use,user,traits
108,Bon comportement,0.3979591836734694,use,future_user,traits
109,Bon comportement,0.3211920529801324,use,nonuser,traits
110,Bon comportement,0.3359375,use,past_user,traits
111,Bon comportement,0.2976588628762542,use,user,traits
112,Issu d'une bonne lignée et d'un bon statut social,0.01020408163265306,use,future_user,traits
113,Issu d'une bonne lignée et d'un bon statut social,0.009933774834437087,use,nonuser,traits
114,Issu d'une bonne lignée et d'un bon statut social,0.0234375,use,past_user,traits
115,Issu d'une bonne lignée et d'un bon statut social,0.010033444816053512,use,user,traits
116,Bon cœur,0.35714285714285715,use,future_user,traits
117,Bon cœur,0.25496688741721857,use,nonuser,traits
118,Bon cœur,0.2265625,use,past_user,traits
119,Bon cœur,0.29431438127090304,use,user,traits
120,Bonne personnalité,0.35714285714285715,use,future_user,traits
121,Bonne personnalité,0.271523178807947,use,nonuser,traits
122,Bonne personnalité,0.2890625,use,past_user,traits
123,Bonne personnalité,0.2709030100334448,use,user,traits
124,Aidant les autres,0.29591836734693877,use,future_user,traits
125,Aidant les autres,0.2947019867549669,use,nonuser,traits
126,Aidant les autres,0.2421875,use,past_user,traits
127,Aidant les autres,0.20735785953177258,use,user,traits
128,Respectable,0.3673469387755102,use,future_user,traits
129,Respectable,0.24834437086092714,use,nonuser,traits
130,Respectable,0.2734375,use,past_user,traits
131,Respectable,0.2140468227424749,use,user,traits
132,Fiabilité,0.29591836734693877,use,future_user,traits
133,Fiabilité,0.10927152317880795,use,nonuser,traits
134,Fiabilité,0.15625,use,past_user,traits
135,Fiabilité,0.12374581939799331,use,user,traits
136,À l'écoute,0.5204081632653061,use,future_user,traits
137,À l'écoute,0.4139072847682119,use,nonuser,traits
138,À l'écoute,0.5234375,use,past_user,traits
139,À l'écoute,0.41471571906354515,use,user,traits
140,Religieux,0.05102040816326531,use,future_user,traits
141,Religieux,0.056291390728476824,use,nonuser,traits
142,Religieux,0.0546875,use,past_user,traits
143,Religieux,0.07023411371237458,use,user,traits
144,Soigné,0.09183673469387756,use,future_user,traits
145,Soigné,0.06622516556291391,use,nonuser,traits
146,Soigné,0.0625,use,past_user,traits
147,Soigné,0.06688963210702341,use,user,traits
148,Se soucie de ses proches,0.1836734693877551,use,future_user,traits
149,Se soucie de ses proches,0.1456953642384106,use,nonuser,traits
150,Se soucie de ses proches,0.1328125,use,past_user,traits
151,Se soucie de ses proches,0.09364548494983277,use,user,traits
152,Encourage les bons comportements,0.24489795918367346,use,future_user,traits
153,Encourage les bons comportements,0.11258278145695365,use,nonuser,traits
154,Encourage les bons comportements,0.125,use,past_user,traits
155,Encourage les bons comportements,0.1505016722408027,use,user,traits
156,Courageux,0.19387755102040816,use,future_user,traits
157,Courageux,0.09933774834437085,use,nonuser,traits
158,Courageux,0.109375,use,past_user,traits
159,Courageux,0.0802675585284281,use,user,traits
160,Accueille tout le monde,0.24489795918367346,use,future_user,traits
161,Accueille tout le monde,0.11258278145695365,use,nonuser,traits
162,Accueille tout le monde,0.1015625,use,past_user,traits
163,Accueille tout le monde,0.12374581939799331,use,user,traits
164,A des enfants bien éduqués,0.061224489795918366,use,future_user,traits
165,A des enfants bien éduqués,0.052980132450331126,use,nonuser,traits
166,A des enfants bien éduqués,0.03125,use,past_user,traits
167,A des enfants bien éduqués,0.026755852842809364,use,user,traits
168,Riche,0.05102040816326531,use,future_user,traits
169,Riche,0.06291390728476821,use,nonuser,traits
170,Riche,0.0234375,use,past_user,traits
171,Riche,0.0903010033444816,use,user,traits
172,Ne se plaint jamais,0.030612244897959183,use,future_user,traits
173,Ne se plaint jamais,0.052980132450331126,use,nonuser,traits
174,Ne se plaint jamais,0.03125,use,past_user,traits
175,Ne se plaint jamais,0.033444816053511704,use,user,traits
176,Prend bien soin de sa famille,0.20408163265306123,use,future_user,traits
177,Prend bien soin de sa famille,0.24172185430463577,use,nonuser,traits
178,Prend bien soin de sa famille,0.2578125,use,past_user,traits
179,Prend bien soin de sa famille,0.12374581939799331,use,user,traits
180,Préfère ne pas répondre,0.014598540145985401,gender,Femme Nyɔnu,traits
181,Préfère ne pas répondre,0.01201923076923077,gender,Homme Sunnu,traits
182,Je ne sais pas,0.0948905109489051,gender,Femme Nyɔnu,traits
183,Je ne sais pas,0.03125,gender,Homme Sunnu,traits
184,Autre,0.1435523114355231,gender,Femme Nyɔnu,traits
185,Autre,0.5576923076923077,gender,Homme Sunnu,traits
186,Calme,0.024330900243309004,gender,Femme Nyɔnu,traits
187,Calme,0.11298076923076923,gender,Homme Sunnu,traits
188,Ne se mêle pas des affaires des autres,0.031630170316301706,gender,Femme Nyɔnu,traits
189,Ne se mêle pas des affaires des autres,0.0673076923076923,gender,Homme Sunnu,traits
190,Sociable,0.2895377128953771,gender,Femme Nyɔnu,traits
191,Sociable,0.34134615384615385,gender,Homme Sunnu,traits
192,Gentillesse,0.0851581508515815,gender,Femme Nyɔnu,traits
193,Gentillesse,0.1658653846153846,gender,Homme Sunnu,traits
194,N'aime pas les choses matérielles,0.004866180048661801,gender,Femme Nyɔnu,traits
195,N'aime pas les choses matérielles,0.021634615384615384,gender,Homme Sunnu,traits
196,Ne fait pas de bruit,0.0170316301703163,gender,Femme Nyɔnu,traits
197,Ne fait pas de bruit,0.055288461538461536,gender,Homme Sunnu,traits
198,Patience,0.08029197080291971,gender,Femme Nyɔnu,traits
199,Patience,0.2668269230769231,gender,Homme Sunnu,traits
200,Endurance,0.012165450121654502,gender,Femme Nyɔnu,traits
201,Endurance,0.16346153846153846,gender,Homme Sunnu,traits
202,Honnêteté,0.25304136253041365,gender,Femme Nyɔnu,traits
203,Honnêteté,0.40625,gender,Homme Sunnu,traits
204,Respect,0.1678832116788321,gender,Femme Nyɔnu,traits
205,Respect,0.5384615384615384,gender,Homme Sunnu,traits
206,Éducation,0.15815085158150852,gender,Femme Nyɔnu,traits
207,Éducation,0.4230769230769231,gender,Homme Sunnu,traits
208,Sincère,0.17761557177615572,gender,Femme Nyɔnu,traits
209,Sincère,0.28125,gender,Homme Sunnu,traits
210,Pardonne facilement,0.05596107055961071,gender,Femme Nyɔnu,traits
211,Pardonne facilement,0.0625,gender,Homme Sunnu,traits
212,Discipline,0.0413625304136253,gender,Femme Nyɔnu,traits
213,Discipline,0.3942307692307692,gender,Homme Sunnu,traits
214,Bon croyant,0.024330900243309004,gender,Femme Nyɔnu,traits
215,Bon croyant,0.10336538461538461,gender,Homme Sunnu,traits
216,Bon comportement,0.1873479318734793,gender,Femme Nyɔnu,traits
217,Bon comportement,0.45913461538461536,gender,Homme Sunnu,traits
218,Issu d'une bonne lignée et d'un bon statut social,0.0072992700729927005,gender,Femme Nyɔnu,traits
219,Issu d'une bonne lignée et d'un bon statut social,0.016826923076923076,gender,Homme Sunnu,traits
220,Bon cœur,0.19708029197080293,gender,Femme Nyɔnu,traits
221,Bon cœur,0.3557692307692308,gender,Homme Sunnu,traits
222,Bonne personnalité,0.1654501216545012,gender,Femme Nyɔnu,traits
223,Bonne personnalité,0.4014423076923077,gender,Homme Sunnu,traits
224,Aidant les autres,0.06326034063260341,gender,Femme Nyɔnu,traits
225,Aidant les autres,0.44471153846153844,gender,Homme Sunnu,traits
226,Respectable,0.12165450121654502,gender,Femme Nyɔnu,traits
227,Respectable,0.38461538461538464,gender,Homme Sunnu,traits
228,Fiabilité,0.058394160583941604,gender,Femme Nyɔnu,traits
229,Fiabilité,0.2283653846153846,gender,Homme Sunnu,traits
230,À l'écoute,0.44282238442822386,gender,Femme Nyɔnu,traits
231,À l'écoute,0.44471153846153844,gender,Homme Sunnu,traits
232,Religieux,0.05596107055961071,gender,Femme Nyɔnu,traits
233,Religieux,0.06490384615384616,gender,Homme Sunnu,traits
234,Soigné,0.024330900243309004,gender,Femme Nyɔnu,traits
235,Soigné,0.11298076923076923,gender,Homme Sunnu,traits
236,Se soucie de ses proches,0.07542579075425791,gender,Femme Nyɔnu,traits
