,label,proportion,split,group
51,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.27347685737609917,gender,Homme Sunnu
52,Je ne sais pas/ Un tuun a,0.05842665979588324,gender,Homme Sunnu
53,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.021291534882452834,gender,Homme Sunnu
54,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.08689317666817332,gender,Homme Sunnu
55,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.36620259055765003,gender,Homme Sunnu
56,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.0705615095667858,age_group,16-20
57,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.09916279144656952,age_group,16-20
58,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.0008047509073341981,age_group,16-20
59,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.0,age_group,16-20
60,Je ne sais pas/ Un tuun a,0.03949604038766163,age_group,16-20
61,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.010973115441434644,age_group,16-20
62,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.005486557720717322,age_group,16-20
63,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.7735152345294968,age_group,16-20
64,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.22870142238916033,age_group,21-30
65,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.06730204197291521,age_group,21-30
66,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.037393213489242814,age_group,21-30
67,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.11001821074827507,age_group,21-30
68,Je ne sais pas/ Un tuun a,0.04784099990974368,age_group,21-30
69,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.035639971312673345,age_group,21-30
70,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.08121206076408817,age_group,21-30
71,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.3918920794139013,age_group,21-30
72,Dans 1 à 2 ans/ Ɖo xwe ɖokpo jɛ we mɛ,0.08661068251638344,age_group,31-45
73,Dans 6 à 12 mois/ Ɖo sun ayizɛn jɛ sun wěwe mɛ,0.017513681870742648,age_group,31-45
74,Dans les 6 prochains mois/ Ɖo sun ayizɛn e ja lɛ mɛ,0.013120696155452133,age_group,31-45
75,Je ne prévois pas d'avoir d'autres enfants/ Un ɖo linlin wɛ bo na ji vi ɖevo lɛ ǎ,0.4140671736611977,age_group,31-45
76,Je ne sais pas/ Un tuun a,0.0365588887151818,age_group,31-45
77,Je préfère ne pas répondre/ Un nɔ jlo na yigbe ǎ,0.01137837638346101,age_group,31-45
78,Je suis / elle est déjà enceinte/ Un/e ko ɖo xo,0.06935117682476659,age_group,31-45
79,Plus de 2 ans à partir de maintenant/ Xwe we jɛji gudo,0.3513993238728146,age_group,31-45
