,method,proportion,method_type,split,group,label
256,,0.3811446355134374,ever,use,user,Implants
257,,0.2450081725803612,ever,use,user,Injectables
258,,0.0006593036628762343,ever,use,user,Je ne sais pas
259,,0.0033345481198484126,ever,use,user,Je préfère ne pas répondre
260,,0.008498026421743056,ever,use,user,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
261,,0.025758126697700393,ever,use,user,Méthode des jours fixes (collier de perles)
262,,0.0878646085103054,ever,use,user,Méthode du calendrier (aussi appelée “méthode Ogino”)
263,,0.0,ever,use,user,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
264,,0.0,ever,use,user,Patch contraceptif
265,,0.0495006788295031,ever,use,user,Pilules contraceptives d'urgence
266,,0.04613083360613044,ever,use,user,Pilules contraceptives orales
267,,0.16478563613852268,ever,use,user,Préservatifs
268,,0.06644925294013197,ever,use,user,Retrait
269,,0.0011889616603924242,ever,use,user,Stérilisation
270,,0.01560482172665026,ever,gender,Femme Nyɔnu,Abstinence
271,,0.0031611595314590558,ever,gender,Femme Nyɔnu,Anneau vaginal
272,,0.000959794008900742,ever,gender,Femme Nyɔnu,Autre : veuillez préciser
273,,0.02683800932282003,ever,gender,Femme Nyɔnu,Dispositifs intra-utérins DIU (aussi appelés “stérilets”)
274,,0.31183907522732923,ever,gender,Femme Nyɔnu,Implants
275,,0.20743422746549683,ever,gender,Femme Nyɔnu,Injectables
276,,0.00037362000335555446,ever,gender,Femme Nyɔnu,Je ne sais pas
277,,0.0,ever,gender,Femme Nyɔnu,Je préfère ne pas répondre
278,,0.0017487497336738903,ever,gender,Femme Nyɔnu,Méthode de l'allaitement (aussi appelée “aménorrhée de lactation”)
279,,0.002860118239513038,ever,gender,Femme Nyɔnu,Méthode des jours fixes (collier de perles)
280,,0.013641233047985845,ever,gender,Femme Nyɔnu,Méthode du calendrier (aussi appelée “méthode Ogino”)
281,,0.0,ever,gender,Femme Nyɔnu,"Méthodes de barrière vaginale (y compris le diaphragme, la cape cervicale et les agents spermicides)"
282,,0.0031764447699441215,ever,gender,Femme Nyɔnu,Patch contraceptif
283,,0.00485879670355165,ever,gender,Femme Nyɔnu,Pilules contraceptives d'urgence
284,,0.03842113127239048,ever,gender,Femme Nyɔnu,Pilules contraceptives orales
285,,0.006036136353110546,ever,gender,Femme Nyɔnu,Préservatifs
286,,0.006723950104252785,ever,gender,Femme Nyɔnu,Retrait
287,,0.0006737712598281634,ever,gender,Femme Nyɔnu,Stérilisation
288,,0.02338227338837899,ever,gender,Homme Sunnu,Abstinence
289,,0.0,ever,gender,Homme Sunnu,Anneau vaginal
290,,0.06556070325072245,ever,gender,Homme Sunnu,Autre : veuillez préciser
