,label,split,group,weighted_agreement,agree_n,agree_pct,agree_weighted_n,disagree_n,disagree_pct,disagree_weighted_n,total_n,total_weighted_n
0,"Après l'accouchement, il n'est pas nécessaire d'utiliser un moyen de contraception jusqu'au retour des règles.",none,all,0.345713766511398,281.0,0.6444954128440367,537450.6764188372,155.0,0.3555045871559633,166046.366316842,697.0,1074311.6013280025
1,Il est acceptable d'utiliser des contraceptifs avant même d'avoir atteint le nombre d'enfants souhaité.,none,all,0.39790506312559165,427.0,0.7517605633802817,700229.0265239931,141.0,0.2482394366197183,272755.0009810189,697.0,1074311.6013280025
2,"Il est important d'avoir beaucoup d'enfants, car ils apportent des avantages à la famille.",none,all,-0.3902521276326577,126.0,0.18556701030927836,300702.5092329001,553.0,0.8144329896907216,719954.8973916008,697.0,1074311.6013280025
3,Il est possible d'utiliser des contraceptifs sans que les autres ne le sachent.,none,all,0.5778228069631884,537.0,0.9010067114093959,754571.0411942364,59.0,0.09899328859060402,133809.2961617721,697.0,1074311.6013280025
4,Il existe des situations où la contraception est utile même si l'on n'est pas sexuellement actif.,none,all,-0.14021644448083873,209.0,0.6943521594684385,232921.97813722846,92.0,0.30564784053156147,383558.1311399573,697.0,1074311.6013280025
5,Il m'est trop difficile de me rendre dans un établissement de santé qui fournit des contraceptifs.,none,all,-0.5254002292830107,164.0,0.26282051282051283,217148.7094902409,460.0,0.7371794871794872,781592.2711493718,697.0,1074311.6013280025
6,Il n'est pas nécessaire d'avoir beaucoup d'enfants pour réussir dans la vie.,none,all,0.5994438323520638,557.0,0.8288690476190477,840735.9541165212,115.0,0.17113095238095238,196746.49067618066,697.0,1074311.6013280025
7,Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.,none,all,0.10004379453969287,295.0,0.5230496453900709,493078.1553428329,269.0,0.4769503546099291,385599.94622796593,697.0,1074311.6013280025
8,Je ne connais pas suffisamment les différentes méthodes contraceptives disponibles.,none,all,0.5352922403513201,453.0,0.7389885807504079,760462.6229028828,160.0,0.26101141924959215,185391.9589926019,697.0,1074311.6013280025
9,Je ne crains pas que les préservatifs puissent se perdre à l'intérieur du corps.,none,all,0.2924697744366987,240.0,0.7570977917981072,448058.8200401773,77.0,0.24290220820189273,133855.1483250479,697.0,1074311.6013280025
10,Je ne pense pas avoir suffisamment d'informations pour utiliser correctement les contraceptifs.,none,all,0.3475375359577845,426.0,0.6995073891625616,657285.4806734496,183.0,0.30049261083743845,283921.8738970539,697.0,1074311.6013280025
11,Je ne vois pas d'avantages évidents à utiliser des contraceptifs modernes.,none,all,0.01123179635241785,277.0,0.4751286449399657,454068.61261490214,306.0,0.5248713550600344,442002.16348974605,697.0,1074311.6013280025
12,Je peux utiliser un contraceptif même si mon mari n'est pas d'accord.,none,all,-0.6587101500374987,79.0,0.12042682926829268,161983.9258513365,577.0,0.8795731707317073,869643.8819491304,697.0,1074311.6013280025
13,Je sais pourquoi je n'utilise pas de contraception.,none,all,0.7188326905787953,552.0,0.9230769230769231,818382.9199754595,46.0,0.07692307692307693,46132.62107283732,697.0,1074311.6013280025
14,Je suis convaincue que je pourrais choisir la méthode contraceptive qui me convient.,none,all,0.2043348745077683,350.0,0.6457564575645757,539533.6024560244,192.0,0.35424354243542433,320014.27621642733,697.0,1074311.6013280025
15,Je suis convaincue que les contraceptifs “modernes” peuvent être utilisés en toute sécurité dans le corps.,none,all,0.10034816370296022,262.0,0.6107226107226107,470449.709037118,167.0,0.38927738927738925,362644.51259906625,697.0,1074311.6013280025
16,L'utilisation de contraceptifs n'encourage pas la promiscuité/l’adultère.,none,all,0.11681370331012716,258.0,0.5620915032679739,409446.85714097484,201.0,0.43790849673202614,283952.5404808179,697.0,1074311.6013280025
17,L'utilisation de contraceptifs peut entraîner des problèmes cardiaques soudains.,none,all,-0.035942600426700916,147.0,0.6901408450704225,170284.6636721418,66.0,0.30985915492957744,208898.21629244337,697.0,1074311.6013280025
18,L'utilisation de contraceptifs peut rendre les règles plus douloureuses.,none,all,0.5432045999210031,447.0,0.93125,670920.922887502,33.0,0.06875,87349.91929763216,697.0,1074311.6013280025
19,L'utilisation de contraceptifs rend les femmes plus susceptibles de contracter des infections lorsqu'elles urinent dans des endroits sales.,none,all,0.19925002412338524,215.0,0.8333333333333334,276073.6507835017,43.0,0.16666666666666666,62017.03830286464,697.0,1074311.6013280025
20,L'utilisation de contraceptifs va à l'encontre de ma foi.,none,all,-0.18029296484165128,151.0,0.3075356415478615,321935.43038434326,340.0,0.6924643584521385,515626.2541515509,697.0,1074311.6013280025
21,L'utilisation de la contraception n'est pas importante pour moi ou ma famille.,none,all,0.04846253308022051,279.0,0.48776223776223776,514735.0312180028,293.0,0.5122377622377622,462671.1697001798,697.0,1074311.6013280025
22,Les chefs religieux que j'admire n'utilisent pas et n'encouragent pas la contraception.,none,all,0.2184901395077548,139.0,0.556,343006.46552172455,111.0,0.444,108279.97387276975,697.0,1074311.6013280025
23,Les contraceptifs affaiblissent l'utérus des femmes.,none,all,0.11422678976616721,168.0,0.7850467289719626,316702.98930595233,46.0,0.21495327102803738,193987.8238777041,697.0,1074311.6013280025
24,Les contraceptifs ne causent pas la mort.,none,all,0.20815844773905556,222.0,0.7681660899653979,350108.19690980966,67.0,0.23183391003460208,126481.16158931352,697.0,1074311.6013280025
25,Les contraceptifs ne provoquent pas de cancer.,none,all,0.18889345661803428,146.0,0.7684210526315789,282390.2398980394,44.0,0.23157894736842105,79459.80803833733,697.0,1074311.6013280025
26,Les contraceptifs peuvent empêcher une femme de concevoir à nouveau.,none,all,0.5235110766762654,443.0,0.8601941747572815,696610.7922978948,72.0,0.13980582524271845,134196.76920086937,697.0,1074311.6013280025
27,Les contraceptifs peuvent faire perdre trop de poids à une femme.,none,all,0.5603997533819741,539.0,0.9590747330960854,760566.7455579196,23.0,0.04092526690391459,158522.78911831343,697.0,1074311.6013280025
28,Les contraceptifs peuvent provoquer des gonflements ou des inflammations dans le corps.,none,all,0.36741171869298694,286.0,0.9438943894389439,418055.59494652646,17.0,0.056105610561056105,23340.92309079006,697.0,1074311.6013280025
29,Les contraceptifs peuvent provoquer l'apparition de boutons chez les femmes.,none,all,0.07841645954218929,191.0,0.8414096916299559,260614.2777488112,36.0,0.15859030837004406,176370.56552756933,697.0,1074311.6013280025
30,Les contraceptifs peuvent provoquer une sécheresse pendant les rapports intimes.,none,all,0.019705201646227438,108.0,0.631578947368421,223286.12300177044,63.0,0.3684210526315789,202116.5962667206,697.0,1074311.6013280025
31,Les contraceptifs provoquent souvent des saignements excessifs chez les femmes.,none,all,0.6469294724014352,547.0,0.9447322970639033,829285.4944039386,32.0,0.055267702936096716,134281.65696207303,697.0,1074311.6013280025
32,Les contraceptifs provoquent souvent des vertiges ou des maux de tête.,none,all,0.5423929510260147,416.0,0.9102844638949672,695357.9375998747,41.0,0.08971553610503283,112658.8978340961,697.0,1074311.6013280025
33,Les contraceptifs rendent les femmes fatiguées en permanence.,none,all,0.4113335469660803,356.0,0.8640776699029126,553843.0815005212,56.0,0.13592233009708737,111942.67997946433,697.0,1074311.6013280025
34,Les contraceptifs sont dangereux car ils peuvent perturber les règles mensuelles des femmes.,none,all,0.5775535933621698,469.0,0.881578947368421,783449.0236626483,63.0,0.11842105263157894,162976.4979249935,697.0,1074311.6013280025
